DATE,SECTOR,SALES (SEASONAL ADJ)
1992-12-01,Miscellaneous Store Retailers,5059
1992-12-01,Nonstore Retailers,6597
1992-12-01,Food Services and Drinking Places,17491
1993-01-01,Motor Vehicle and Parts Dealers,37621
1993-01-01,Furniture and Home Furnishings Stores,4637
1993-01-01,Electronics and Appliance Stores,4395
1993-01-01,Building Mat. and Garden Equip. and Supplies Dealers,11333
1993-01-01,Food and Beverage Stores,31045
1993-01-01,Health and Personal Care Stores,7518
1993-01-01,Gasoline Stations,13398
1993-01-01,Clothing and Clothing Access. Stores,10581
1993-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3648
1993-01-01,General Merchandise Stores,21383
1993-01-01,Miscellaneous Store Retailers,5352
1993-01-01,Nonstore Retailers,6644
1993-01-01,Food Services and Drinking Places,17553
1993-02-01,Motor Vehicle and Parts Dealers,36723
1993-02-01,Furniture and Home Furnishings Stores,4507
1993-02-01,Electronics and Appliance Stores,4343
1993-02-01,Building Mat. and Garden Equip. and Supplies Dealers,11410
1993-02-01,Food and Beverage Stores,31233
1993-02-01,Health and Personal Care Stores,7651
1993-02-01,Gasoline Stations,13596
1993-02-01,Clothing and Clothing Access. Stores,10150
1993-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3585
1993-02-01,General Merchandise Stores,21392
1993-02-01,Miscellaneous Store Retailers,4896
1993-02-01,Nonstore Retailers,6780
1993-02-01,Food Services and Drinking Places,17478
1993-03-01,Motor Vehicle and Parts Dealers,35955
1993-03-01,Furniture and Home Furnishings Stores,4463
1993-03-01,Electronics and Appliance Stores,4383
1993-03-01,Building Mat. and Garden Equip. and Supplies Dealers,11184
1993-03-01,Food and Beverage Stores,31058
1993-03-01,Health and Personal Care Stores,7605
1993-03-01,Gasoline Stations,13487
1993-03-01,Clothing and Clothing Access. Stores,9916
1993-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3608
1993-03-01,General Merchandise Stores,21273
1993-03-01,Miscellaneous Store Retailers,4811
1993-03-01,Nonstore Retailers,7009
1993-03-01,Food Services and Drinking Places,17554
1993-04-01,Motor Vehicle and Parts Dealers,38521
1993-04-01,Furniture and Home Furnishings Stores,4564
1993-04-01,Electronics and Appliance Stores,4460
1993-04-01,Building Mat. and Garden Equip. and Supplies Dealers,11417
1993-04-01,Food and Beverage Stores,31129
1993-04-01,Health and Personal Care Stores,7683
1993-04-01,Gasoline Stations,13539
1993-04-01,Clothing and Clothing Access. Stores,10257
1993-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3749
1993-04-01,General Merchandise Stores,21759
1993-04-01,Miscellaneous Store Retailers,5033
1993-04-01,Nonstore Retailers,6868
1993-04-01,Food Services and Drinking Places,17770
1993-05-01,Motor Vehicle and Parts Dealers,39006
1993-05-01,Furniture and Home Furnishings Stores,4642
1993-05-01,Electronics and Appliance Stores,4485
1993-05-01,Building Mat. and Garden Equip. and Supplies Dealers,11720
1993-05-01,Food and Beverage Stores,31164
1993-05-01,Health and Personal Care Stores,7666
1993-05-01,Gasoline Stations,13521
1993-05-01,Clothing and Clothing Access. Stores,10386
1993-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3746
1993-05-01,General Merchandise Stores,21993
1993-05-01,Miscellaneous Store Retailers,4967
1993-05-01,Nonstore Retailers,7309
1993-05-01,Food Services and Drinking Places,17821
1993-06-01,Motor Vehicle and Parts Dealers,38892
1993-06-01,Furniture and Home Furnishings Stores,4609
1993-06-01,Electronics and Appliance Stores,4567
1993-06-01,Building Mat. and Garden Equip. and Supplies Dealers,11669
1993-06-01,Food and Beverage Stores,31168
1993-06-01,Health and Personal Care Stores,7680
1993-06-01,Gasoline Stations,13461
1993-06-01,Clothing and Clothing Access. Stores,10411
1993-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3702
1993-06-01,General Merchandise Stores,21957
1993-06-01,Miscellaneous Store Retailers,5153
1993-06-01,Nonstore Retailers,6858
1993-06-01,Food Services and Drinking Places,18030
1993-07-01,Motor Vehicle and Parts Dealers,40290
1993-07-01,Furniture and Home Furnishings Stores,4640
1993-07-01,Electronics and Appliance Stores,4642
1993-07-01,Building Mat. and Garden Equip. and Supplies Dealers,11781
1993-07-01,Food and Beverage Stores,31349
1993-07-01,Health and Personal Care Stores,7756
1993-07-01,Gasoline Stations,13502
1993-07-01,Clothing and Clothing Access. Stores,10593
1993-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3810
1993-07-01,General Merchandise Stores,22343
1993-07-01,Miscellaneous Store Retailers,5064
1993-07-01,Nonstore Retailers,7046
1993-07-01,Food Services and Drinking Places,17927
1993-08-01,Motor Vehicle and Parts Dealers,40504
1993-08-01,Furniture and Home Furnishings Stores,4645
1993-08-01,Electronics and Appliance Stores,4667
1993-08-01,Building Mat. and Garden Equip. and Supplies Dealers,11875
1993-08-01,Food and Beverage Stores,31126
1993-08-01,Health and Personal Care Stores,7678
1993-08-01,Gasoline Stations,13372
1993-08-01,Clothing and Clothing Access. Stores,10406
1993-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3804
1993-08-01,General Merchandise Stores,22315
1993-08-01,Miscellaneous Store Retailers,5115
1993-08-01,Nonstore Retailers,6999
1993-08-01,Food Services and Drinking Places,18201
1993-09-01,Motor Vehicle and Parts Dealers,40203
1993-09-01,Furniture and Home Furnishings Stores,4640
1993-09-01,Electronics and Appliance Stores,4729
1993-09-01,Building Mat. and Garden Equip. and Supplies Dealers,11786
1993-09-01,Food and Beverage Stores,31201
1993-09-01,Health and Personal Care Stores,7772
1993-09-01,Gasoline Stations,13416
1993-09-01,Clothing and Clothing Access. Stores,10549
1993-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3825
1993-09-01,General Merchandise Stores,22429
1993-09-01,Miscellaneous Store Retailers,5222
1993-09-01,Nonstore Retailers,7486
1993-09-01,Food Services and Drinking Places,18515
1993-10-01,Motor Vehicle and Parts Dealers,40857
1993-10-01,Furniture and Home Furnishings Stores,4663
1993-10-01,Electronics and Appliance Stores,4710
1993-10-01,Building Mat. and Garden Equip. and Supplies Dealers,11908
1993-10-01,Food and Beverage Stores,31346
1993-10-01,Health and Personal Care Stores,7758
1993-10-01,Gasoline Stations,13755
1993-10-01,Clothing and Clothing Access. Stores,10449
1993-10-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3817
1993-10-01,General Merchandise Stores,22647
1993-10-01,Miscellaneous Store Retailers,5432
1993-10-01,Nonstore Retailers,7343
1993-10-01,Food Services and Drinking Places,18199
1993-11-01,Motor Vehicle and Parts Dealers,42077
1993-11-01,Furniture and Home Furnishings Stores,4693
1993-11-01,Electronics and Appliance Stores,4741
1993-11-01,Building Mat. and Garden Equip. and Supplies Dealers,12297
1993-11-01,Food and Beverage Stores,31363
1993-11-01,Health and Personal Care Stores,7784
1993-11-01,Gasoline Stations,13754
1993-11-01,Clothing and Clothing Access. Stores,10475
1993-11-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3930
1993-11-01,General Merchandise Stores,22760
1993-11-01,Miscellaneous Store Retailers,5159
1993-11-01,Nonstore Retailers,7561
1993-11-01,Food Services and Drinking Places,18153
1993-12-01,Motor Vehicle and Parts Dealers,42796
1993-12-01,Furniture and Home Furnishings Stores,4693
1993-12-01,Electronics and Appliance Stores,4794
1993-12-01,Building Mat. and Garden Equip. and Supplies Dealers,12583
1993-12-01,Food and Beverage Stores,31499
1993-12-01,Health and Personal Care Stores,7989
1993-12-01,Gasoline Stations,13627
1993-12-01,Clothing and Clothing Access. Stores,10442
1993-12-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4018
1993-12-01,General Merchandise Stores,22905
1993-12-01,Miscellaneous Store Retailers,5377
1993-12-01,Nonstore Retailers,7438
1993-12-01,Food Services and Drinking Places,18238
1994-01-01,Motor Vehicle and Parts Dealers,42660
1994-01-01,Furniture and Home Furnishings Stores,4571
1994-01-01,Electronics and Appliance Stores,4837
1994-01-01,Building Mat. and Garden Equip. and Supplies Dealers,12316
1994-01-01,Food and Beverage Stores,31468
1994-01-01,Health and Personal Care Stores,7865
1994-01-01,Gasoline Stations,13656
1994-01-01,Clothing and Clothing Access. Stores,10450
1994-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3981
1994-01-01,General Merchandise Stores,22706
1994-01-01,Miscellaneous Store Retailers,5288
1994-01-01,Nonstore Retailers,7720
1994-01-01,Food Services and Drinking Places,17624
1994-02-01,Motor Vehicle and Parts Dealers,43685
1994-02-01,Furniture and Home Furnishings Stores,4775
1994-02-01,Electronics and Appliance Stores,4949
1994-02-01,Building Mat. and Garden Equip. and Supplies Dealers,12233
1994-02-01,Food and Beverage Stores,31688
1994-02-01,Health and Personal Care Stores,7729
1994-02-01,Gasoline Stations,13875
1994-02-01,Clothing and Clothing Access. Stores,10587
1994-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4095
1994-02-01,General Merchandise Stores,23070
1994-02-01,Miscellaneous Store Retailers,5282
1994-02-01,Nonstore Retailers,7681
1994-02-01,Food Services and Drinking Places,18425
1994-03-01,Motor Vehicle and Parts Dealers,44475
1994-03-01,Furniture and Home Furnishings Stores,4910
1994-03-01,Electronics and Appliance Stores,5052
1994-03-01,Building Mat. and Garden Equip. and Supplies Dealers,12767
1994-03-01,Food and Beverage Stores,31700
1994-03-01,Health and Personal Care Stores,7911
1994-03-01,Gasoline Stations,13911
1994-03-01,Clothing and Clothing Access. Stores,10806
1994-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4131
1994-03-01,General Merchandise Stores,23657
1994-03-01,Miscellaneous Store Retailers,5593
1994-03-01,Nonstore Retailers,7853
1994-03-01,Food Services and Drinking Places,18813
1994-04-01,Motor Vehicle and Parts Dealers,45072
1994-04-01,Furniture and Home Furnishings Stores,4916
1994-04-01,Electronics and Appliance Stores,5090
1994-04-01,Building Mat. and Garden Equip. and Supplies Dealers,13076
1994-04-01,Food and Beverage Stores,31899
1994-04-01,Health and Personal Care Stores,7838
1994-04-01,Gasoline Stations,13867
1994-04-01,Clothing and Clothing Access. Stores,10554
1994-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4035
1994-04-01,General Merchandise Stores,23354
1994-04-01,Miscellaneous Store Retailers,5464
1994-04-01,Nonstore Retailers,7941
1994-04-01,Food Services and Drinking Places,18533
1994-05-01,Motor Vehicle and Parts Dealers,44098
1994-05-01,Furniture and Home Furnishings Stores,4971
1994-05-01,Electronics and Appliance Stores,5185
1994-05-01,Building Mat. and Garden Equip. and Supplies Dealers,13033
1994-05-01,Food and Beverage Stores,31858
1994-05-01,Health and Personal Care Stores,7955
1994-05-01,Gasoline Stations,13773
1994-05-01,Clothing and Clothing Access. Stores,10451
1994-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4119
1994-05-01,General Merchandise Stores,23271
1994-05-01,Miscellaneous Store Retailers,5756
1994-05-01,Nonstore Retailers,7859
1994-05-01,Food Services and Drinking Places,18600
1994-06-01,Motor Vehicle and Parts Dealers,44541
1994-06-01,Furniture and Home Furnishings Stores,5018
1994-06-01,Electronics and Appliance Stores,5313
1994-06-01,Building Mat. and Garden Equip. and Supplies Dealers,12987
1994-06-01,Food and Beverage Stores,32123
1994-06-01,Health and Personal Care Stores,8014
1994-06-01,Gasoline Stations,14059
1994-06-01,Clothing and Clothing Access. Stores,10612
1994-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4135
1994-06-01,General Merchandise Stores,23626
1994-06-01,Miscellaneous Store Retailers,5739
1994-06-01,Nonstore Retailers,8074
1994-06-01,Food Services and Drinking Places,18889
1994-07-01,Motor Vehicle and Parts Dealers,44477
1994-07-01,Furniture and Home Furnishings Stores,5046
1994-07-01,Electronics and Appliance Stores,5330
1994-07-01,Building Mat. and Garden Equip. and Supplies Dealers,13130
1994-07-01,Food and Beverage Stores,31964
1994-07-01,Health and Personal Care Stores,8084
1994-07-01,Gasoline Stations,14322
1994-07-01,Clothing and Clothing Access. Stores,10672
1994-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4111
1994-07-01,General Merchandise Stores,23635
1994-07-01,Miscellaneous Store Retailers,5933
1994-07-01,Nonstore Retailers,8077
1994-07-01,Food Services and Drinking Places,18962
1994-08-01,Motor Vehicle and Parts Dealers,45232
1994-08-01,Furniture and Home Furnishings Stores,5165
1994-08-01,Electronics and Appliance Stores,5411
1994-08-01,Building Mat. and Garden Equip. and Supplies Dealers,13224
1994-08-01,Food and Beverage Stores,32222
1994-08-01,Health and Personal Care Stores,8126
1994-08-01,Gasoline Stations,14685
1994-08-01,Clothing and Clothing Access. Stores,10839
1994-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4249
1994-08-01,General Merchandise Stores,23889
1994-08-01,Miscellaneous Store Retailers,6012
1994-08-01,Nonstore Retailers,8241
1994-08-01,Food Services and Drinking Places,18868
1994-09-01,Motor Vehicle and Parts Dealers,46314
1994-09-01,Furniture and Home Furnishings Stores,5177
1994-09-01,Electronics and Appliance Stores,5508
1994-09-01,Building Mat. and Garden Equip. and Supplies Dealers,13375
1994-09-01,Food and Beverage Stores,32401
1994-09-01,Health and Personal Care Stores,8190
1994-09-01,Gasoline Stations,14649
1994-09-01,Clothing and Clothing Access. Stores,10674
1994-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4306
1994-09-01,General Merchandise Stores,23995
1994-09-01,Miscellaneous Store Retailers,6092
1994-09-01,Nonstore Retailers,8106
1994-09-01,Food Services and Drinking Places,18978
1994-10-01,Motor Vehicle and Parts Dealers,47041
1994-10-01,Furniture and Home Furnishings Stores,5260
1994-10-01,Electronics and Appliance Stores,5635
1994-10-01,Building Mat. and Garden Equip. and Supplies Dealers,13550
1994-10-01,Food and Beverage Stores,32196
1994-10-01,Health and Personal Care Stores,8214
1994-10-01,Gasoline Stations,14709
1994-10-01,Clothing and Clothing Access. Stores,11000
1994-10-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4347
1994-10-01,General Merchandise Stores,24255
1994-10-01,Miscellaneous Store Retailers,6048
1994-10-01,Nonstore Retailers,8306
1994-10-01,Food Services and Drinking Places,19010
1994-11-01,Motor Vehicle and Parts Dealers,47203
1994-11-01,Furniture and Home Furnishings Stores,5199
1994-11-01,Electronics and Appliance Stores,5753
1994-11-01,Building Mat. and Garden Equip. and Supplies Dealers,13384
1994-11-01,Food and Beverage Stores,32370
1994-11-01,Health and Personal Care Stores,8190
1994-11-01,Gasoline Stations,14878
1994-11-01,Clothing and Clothing Access. Stores,10983
1994-11-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4221
1994-11-01,General Merchandise Stores,24356
1994-11-01,Miscellaneous Store Retailers,6074
1994-11-01,Nonstore Retailers,8092
1994-11-01,Food Services and Drinking Places,19028
1994-12-01,Motor Vehicle and Parts Dealers,46941
1994-12-01,Furniture and Home Furnishings Stores,5254
1994-12-01,Electronics and Appliance Stores,5834
1994-12-01,Building Mat. and Garden Equip. and Supplies Dealers,13981
1994-12-01,Food and Beverage Stores,32294
1994-12-01,Health and Personal Care Stores,8287
1994-12-01,Gasoline Stations,14885
1994-12-01,Clothing and Clothing Access. Stores,10952
1994-12-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4255
1994-12-01,General Merchandise Stores,24583
1994-12-01,Miscellaneous Store Retailers,6021
1994-12-01,Nonstore Retailers,8237
1994-12-01,Food Services and Drinking Places,19178
1995-01-01,Motor Vehicle and Parts Dealers,47224
1995-01-01,Furniture and Home Furnishings Stores,5265
1995-01-01,Electronics and Appliance Stores,5892
1995-01-01,Building Mat. and Garden Equip. and Supplies Dealers,13738
1995-01-01,Food and Beverage Stores,32625
1995-01-01,Health and Personal Care Stores,8306
1995-01-01,Gasoline Stations,14915
1995-01-01,Clothing and Clothing Access. Stores,10939
1995-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4436
1995-01-01,General Merchandise Stores,24936
1995-01-01,Miscellaneous Store Retailers,5955
1995-01-01,Nonstore Retailers,8182
1995-01-01,Food Services and Drinking Places,19160
1995-02-01,Motor Vehicle and Parts Dealers,45902
1995-02-01,Furniture and Home Furnishings Stores,5081
1995-02-01,Electronics and Appliance Stores,5827
1995-02-01,Building Mat. and Garden Equip. and Supplies Dealers,13613
1995-02-01,Food and Beverage Stores,32399
1995-02-01,Health and Personal Care Stores,8304
1995-02-01,Gasoline Stations,14963
1995-02-01,Clothing and Clothing Access. Stores,10582
1995-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4298
1995-02-01,General Merchandise Stores,24115
1995-02-01,Miscellaneous Store Retailers,6097
1995-02-01,Nonstore Retailers,8307
1995-02-01,Food Services and Drinking Places,18911
1995-03-01,Motor Vehicle and Parts Dealers,46681
1995-03-01,Furniture and Home Furnishings Stores,5130
1995-03-01,Electronics and Appliance Stores,5849
1995-03-01,Building Mat. and Garden Equip. and Supplies Dealers,13587
1995-03-01,Food and Beverage Stores,32415
1995-03-01,Health and Personal Care Stores,8304
1995-03-01,Gasoline Stations,14921
1995-03-01,Clothing and Clothing Access. Stores,10850
1995-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4347
1995-03-01,General Merchandise Stores,24579
1995-03-01,Miscellaneous Store Retailers,6134
1995-03-01,Nonstore Retailers,8216
1995-03-01,Food Services and Drinking Places,19234
1995-04-01,Motor Vehicle and Parts Dealers,47056
1995-04-01,Furniture and Home Furnishings Stores,5181
1995-04-01,Electronics and Appliance Stores,5733
1995-04-01,Building Mat. and Garden Equip. and Supplies Dealers,13415
1995-04-01,Food and Beverage Stores,32312
1995-04-01,Health and Personal Care Stores,8450
1995-04-01,Gasoline Stations,15021
1995-04-01,Clothing and Clothing Access. Stores,10796
1995-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4345
1995-04-01,General Merchandise Stores,24747
1995-04-01,Miscellaneous Store Retailers,6265
1995-04-01,Nonstore Retailers,8365
1995-04-01,Food Services and Drinking Places,19346
1995-05-01,Motor Vehicle and Parts Dealers,47718
1995-05-01,Furniture and Home Furnishings Stores,5216
1995-05-01,Electronics and Appliance Stores,5956
1995-05-01,Building Mat. and Garden Equip. and Supplies Dealers,13370
1995-05-01,Food and Beverage Stores,32540
1995-05-01,Health and Personal Care Stores,8424
1995-05-01,Gasoline Stations,15215
1995-05-01,Clothing and Clothing Access. Stores,10976
1995-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4380
1995-05-01,General Merchandise Stores,24851
1995-05-01,Miscellaneous Store Retailers,6372
1995-05-01,Nonstore Retailers,8518
1995-05-01,Food Services and Drinking Places,19450
1995-06-01,Motor Vehicle and Parts Dealers,49652
1995-06-01,Furniture and Home Furnishings Stores,5217
1995-06-01,Electronics and Appliance Stores,6000
1995-06-01,Building Mat. and Garden Equip. and Supplies Dealers,13548
1995-06-01,Food and Beverage Stores,32597
1995-06-01,Health and Personal Care Stores,8482
1995-06-01,Gasoline Stations,15333
1995-06-01,Clothing and Clothing Access. Stores,10948
1995-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4421
1995-06-01,General Merchandise Stores,25166
1995-06-01,Miscellaneous Store Retailers,6288
1995-06-01,Nonstore Retailers,8429
1995-06-01,Food Services and Drinking Places,19419
1995-07-01,Motor Vehicle and Parts Dealers,48832
1995-07-01,Furniture and Home Furnishings Stores,5318
1995-07-01,Electronics and Appliance Stores,5965
1995-07-01,Building Mat. and Garden Equip. and Supplies Dealers,13645
1995-07-01,Food and Beverage Stores,32466
1995-07-01,Health and Personal Care Stores,8431
1995-07-01,Gasoline Stations,15249
1995-07-01,Clothing and Clothing Access. Stores,10824
1995-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4429
1995-07-01,General Merchandise Stores,25375
1995-07-01,Miscellaneous Store Retailers,6398
1995-07-01,Nonstore Retailers,8499
1995-07-01,Food Services and Drinking Places,19489
1995-08-01,Motor Vehicle and Parts Dealers,49748
1995-08-01,Furniture and Home Furnishings Stores,5304
